datetime,no2,nh3,co,t,rh,p,deviceid,no2ppb,latitude,longitude,elevation,id,pm1,pm25,pm10
2025-08-27 15:48:05,1573.2363636363639,770.7927272727273,895.5345454545455,24.43128427499905,54.508604224443964,951.1939165652024,10.0,7.579028129577637,,,,,20.0,30.0,30.0
2025-08-27 15:48:08,1575.0981818181817,774.5163636363636,901.12,24.43128427499905,54.49691272470798,951.1939165652024,10.0,7.569025993347168,,,,,19.0,28.0,28.0
2025-08-27 15:48:11,1573.2363636363639,768.9309090909092,897.3963636363636,24.421245354996064,54.50830487364829,951.1778464999894,10.0,7.585414409637451,,,,,19.0,29.0,30.0
2025-08-27 15:48:14,1575.0981818181817,770.7927272727273,895.5345454545455,24.42626481485204,54.52014588260678,951.1858815167805,10.0,7.582353115081787,,,,,21.0,32.0,34.0
2025-08-27 15:48:20,1573.2363636363639,768.9309090909092,895.5345454545455,24.421245354996064,54.519996071090354,951.1778464999894,10.0,7.585536956787109,,,,,20.0,32.0,36.0
2025-08-27 15:48:23,1576.96,772.6545454545455,901.12,24.411206436157226,54.47877796623829,951.1061447952965,10.0,7.579141616821289,,,,,20.0,32.0,35.0
2025-08-27 15:48:26,1573.2363636363639,770.7927272727273,899.2581818181819,24.43128427499905,54.48522118460545,951.1660997602121,10.0,7.579191207885742,,,,,21.0,32.0,36.0
2025-08-27 15:48:29,1573.2363636363639,772.6545454545455,902.9818181818183,24.421245354996064,54.47907670344738,951.1778464999894,10.0,7.571928024291992,,,,,20.0,32.0,35.0
2025-08-27 15:48:32,1573.2363636363639,768.9309090909092,895.5345454545455,24.421245354996064,54.496613635841484,951.1778464999894,10.0,7.585298538208008,,,,,20.0,33.0,35.0
2025-08-27 15:48:35,1576.96,772.6545454545455,899.2581818181819,24.436303735437104,54.467833000317206,951.1463176021357,10.0,7.579535484313965,,,,,19.0,31.0,33.0
2025-08-27 15:48:38,1573.2363636363639,770.7927272727273,897.3963636363636,24.42626481485204,54.49091748590687,951.1302483845097,10.0,7.579556465148926,,,,,19.0,30.0,31.0
2025-08-27 15:48:44,1573.2363636363639,772.6545454545455,897.3963636363636,24.416225895431126,54.4789273399978,951.1698115148309,10.0,7.571821212768555,,,,,20.0,30.0,30.0
2025-08-27 15:48:47,1575.0981818181817,770.7927272727273,897.3963636363636,24.406186977174364,54.48447403994224,951.1815573281426,10.0,7.581173896789551,,,,,19.0,29.0,29.0
2025-08-27 15:48:50,1573.2363636363639,768.9309090909092,897.3963636363636,24.421245354996064,54.50245925979048,951.1500301504213,10.0,7.585763931274414,,,,,19.0,28.0,28.0
2025-08-27 15:48:53,1575.0981818181817,772.6545454545455,902.9818181818183,24.411206436157226,54.50215999871967,951.1339606671586,10.0,7.5756683349609375,,,,,19.0,28.0,28.0
2025-08-27 15:48:59,1573.2363636363639,768.9309090909092,893.6727272727273,24.421245354996064,54.514150477414915,951.1778464999894,10.0,7.585479259490967,,,,,19.0,29.0,29.0
2025-08-27 15:49:02,1573.2363636363639,772.6545454545455,893.6727272727273,24.416225895431126,54.502309634410004,951.1419953929733,10.0,7.572471618652344,,,,,21.0,30.0,30.0
2025-08-27 15:49:05,1573.2363636363639,770.7927272727273,897.3963636363636,24.42626481485204,54.49091748590687,951.1580649395017,10.0,7.57914924621582,,,,,20.0,29.0,29.0
2025-08-27 15:49:08,1573.2363636363639,770.7927272727273,899.2581818181819,24.446342657186324,54.42136299458748,951.2180219002307,10.0,7.578435897827148,,,,,20.0,30.0,30.0
2025-08-27 15:49:11,1575.0981818181817,772.6545454545455,901.12,24.446342657186324,54.43305514961778,951.2180219002307,10.0,7.57526969909668,,,,,20.0,29.0,29.0
2025-08-27 15:49:14,1575.0981818181817,774.5163636363636,904.8436363636364,24.451362118497492,54.42151164133334,951.1704216657603,10.0,7.569461822509766,,,,,20.0,29.0,29.0
2025-08-27 15:49:17,1575.0981818181817,770.7927272727273,899.2581818181819,24.456381580099695,54.404121576615914,951.1228206412098,10.0,7.583387851715088,,,,,20.0,29.0,29.0
2025-08-27 15:49:20,1571.3745454545456,770.7927272727273,895.5345454545455,24.471439966652543,54.37533448194254,951.2025608599248,10.0,7.575972080230713,,,,,20.0,28.0,28.0
2025-08-27 15:49:23,1573.2363636363639,768.9309090909092,895.5345454545455,24.481478892476296,54.32885727717052,951.1629925938677,10.0,7.586414337158203,,,,,20.0,28.0,28.0
2025-08-27 15:49:26,1573.2363636363639,770.7927272727273,897.3963636363636,24.476459429418902,54.311169768603314,951.154958140115,10.0,7.579534530639648,,,,,20.0,28.0,28.0
2025-08-27 15:49:29,1575.0981818181817,768.9309090909092,895.5345454545455,24.491517819464207,54.29991800179328,951.1790615961919,10.0,7.589632511138916,,,,,20.0,29.0,30.0
2025-08-27 15:49:32,1576.96,772.6545454545455,899.2581818181819,24.50155674761627,54.29436532390602,951.1673108210857,10.0,7.580292701721191,,,,,20.0,28.0,29.0
2025-08-27 15:49:35,1575.0981818181817,768.9309090909092,897.3963636363636,24.50155674761627,54.27097712300637,951.1394909395358,10.0,7.590347766876221,,,,,22.0,31.0,34.0
2025-08-27 15:49:38,1575.0981818181817,768.9309090909092,897.3963636363636,24.50155674761627,54.288518288823326,951.1673108210857,10.0,7.590122222900391,,,,,22.0,32.0,36.0
2025-08-27 15:49:41,1575.0981818181817,772.6545454545455,902.9818181818183,24.491517819464207,54.23560161252934,951.2068810668898,10.0,7.575371742248535,,,,,21.0,31.0,33.0
2025-08-27 15:49:44,1575.0981818181817,768.9309090909092,897.3963636363636,24.481478892476296,54.25869606029936,951.1629925938677,10.0,7.589001655578613,,,,,21.0,31.0,32.0
2025-08-27 15:49:47,1575.0981818181817,770.7927272727273,901.12,24.476459429418902,54.293629706278985,951.1827769276628,10.0,7.58225154876709,,,,,20.0,30.0,31.0
2025-08-27 15:49:50,1573.2363636363639,768.9309090909092,897.3963636363636,24.471439966652543,54.30517580581802,951.1469237179704,10.0,7.585969924926758,,,,,20.0,29.0,29.0
2025-08-27 15:49:56,1575.0981818181817,770.7927272727273,899.2581818181819,24.446342657186324,54.34536300288932,951.1902044121026,10.0,7.581367015838623,,,,,19.0,28.0,28.0
2025-08-27 15:49:59,1575.0981818181817,770.7927272727273,897.3963636363636,24.456381580099695,54.34565858340829,951.1784564168768,10.0,7.581979274749756,,,,,20.0,30.0,30.0
2025-08-27 15:50:02,1573.2363636363639,770.7927272727273,897.3963636363636,24.451362118497492,54.38058832241486,951.1147863455201,10.0,7.579745769500732,,,,,19.0,29.0,30.0
2025-08-27 15:50:05,1575.0981818181817,770.7927272727273,899.2581818181819,24.446342657186324,54.38044013407335,951.162386946263,10.0,7.582135200500488,,,,,19.0,29.0,29.0
2025-08-27 15:50:08,1575.0981818181817,768.9309090909092,897.3963636363636,24.456381580099695,54.40996782042642,951.1506385178989,10.0,7.589639186859131,,,,,20.0,29.0,29.0
2025-08-27 15:50:11,1573.2363636363639,768.9309090909092,897.3963636363636,24.441323196166195,54.397830168306996,951.1821694965142,10.0,7.5850958824157715,,,,,21.0,29.0,29.0
2025-08-27 15:50:14,1576.96,768.9309090909092,901.12,24.446342657186324,54.339516779035534,951.162386946263,10.0,7.591615200042725,,,,,21.0,29.0,29.0
2025-08-27 15:50:17,1575.0981818181817,770.7927272727273,901.12,24.436303735437104,54.38014372645971,951.1185006140087,10.0,7.582333564758301,,,,,22.0,30.0,31.0
2025-08-27 15:50:20,1573.2363636363639,767.069090909091,897.3963636363636,24.43128427499905,54.38584146393415,951.1104662170935,10.0,7.59217643737793,,,,,22.0,30.0,31.0
2025-08-27 15:50:23,1575.0981818181817,768.9309090909092,901.12,24.441323196166195,54.44459834528255,951.1543522583875,10.0,7.589287281036377,,,,,20.0,29.0,30.0
2025-08-27 15:50:29,1576.96,768.9309090909092,901.12,24.451362118497492,54.45074228064156,951.1704216657603,10.0,7.592860698699951,,,,,20.0,29.0,29.0
2025-08-27 15:50:35,1575.0981818181817,767.069090909091,897.3963636363636,24.466420504177222,54.37518640032918,951.138889327437,10.0,7.596484184265137,,,,,21.0,30.0,31.0
2025-08-27 15:50:38,1575.0981818181817,767.069090909091,899.2581818181819,24.441323196166195,54.38613802314218,951.0987178489978,10.0,7.596092224121094,,,,,19.0,28.0,28.0
2025-08-27 15:50:41,1573.2363636363639,770.7927272727273,901.12,24.46140104199294,54.37503830840559,951.130854968516,10.0,7.579887866973877,,,,,19.0,27.0,27.0
